LIBRARY,MINISHELL,PIPEX
dirent.h,closedir,
dirent.h,opendir,
dirent.h,readdir,
fcntl.h,open,"open,"
history.h,add_history,
readline.h,readline,
readline.h,rl_clear_history,
readline.h,rl_on_new_line,
readline.h,rl_redisplay,
readline.h,rl_replace_line,
signal.h,kill,
signal.h,sigaction,
signal.h,signal,
stdio.h,perror,"perror,"
stdio.h,printf,
stdlib.h,exit,"exit,"
stdlib.h,free,"free,"
stdlib.h,malloc,"malloc,"
string.h,strerror,"strerror,"
sys/ioctl.h,ioctl,
sys/stat.h,fstat,
sys/stat.h,lstat,
sys/stat.h,stat,
sys/wait.h,wait,"wait,"
sys/wait.h,wait3,
sys/wait.h,wait4,
sys/wait.h,waitpid,waitpid
term.h,tgetent,
term.h,tgetflag,
term.h,tgetnum,
term.h,tgetstr,
term.h,tgoto,
term.h,tputs,
termios.h,tcgetattr,
termios.h,tcsetattr,
unistd.h,access,"access,"
unistd.h,chdir,
unistd.h,close,"close,"
unistd.h,dup,"dup,"
unistd.h,dup2,"dup2,"
unistd.h,execve,"execve,"
unistd.h,fork,"fork,"
unistd.h,getcwd,
unistd.h,getenv,
unistd.h,isatty,
unistd.h,pipe,"pipe,"
unistd.h,read,"read,"
unistd.h,ttyname,
unistd.h,ttyslot,
unistd.h,unlink,"unlink,"
unistd.h,write,"write,"
,,
,51,18
